,reviews,date,rating
0,"A quintessential and popular Biergarten in the heart of the Munich city center, I had to stop here even knowing that everyone else who is traveling to Munich also feels the same way. I had to, and I'm so glad that I did. First off...THIS PLACE IS HUGE!  The famous HB Hofbrauhaus is an icon when it comes to drinking (and eating) establishments in Munich. One of the six breweries in the metro Munich area, its beer did not disappoint. A steady stream of customers continued to file in but nobody was walking out. In an hour the capacity of folks inside doubled. We sat down about 11am and only waited about 4-5 mins for a server to greet us. A one liter beers seem large and they are! But, cmon....you have to. And, so we did. Two 1liter original HB cold brews!  We also grabbed a Luke warm pretzel and shared an order of weisswurst (a traditional morning food for Germans) since it was before noon. The sausage was amazing. Subtle hints of seasoning in a ground veal white sausage in a firm casing. The pretzel was a combination of soft and chewy in the thicker parts with a nice brown salty crust and crunchy thin areas. And of course the beer tasted way better than our American brews. My suggestion is to definitely visit here. But get here early as from what I saw and heard, if you wait too long, you'll be standing. And beware. Certain tables have signs over them which denote them  as a ""locals"" table and they have certain rights to the table. I'm not sure that they would kick you out, but they do have ""dibs.""Prost!","May 10, 2024",4.0
1,Awesome medieval tavern vibe. Delicious sausages and refreshing beers. The waitresses will yell at you if you order something nonalcoholic lol. Grab a seat and immerse yourself!Highly recommended!,"Apr 4, 2024",5.0
2,"Visiting the Hofbräuhaus while in Munich is definitely at the top of the list for classic German beer and fare. It's bustling and warm feeling inside, like you are being welcomed home whether you're German or just a tourist!The Hofbräuhaus is famed as the world's most famous tavern. I'm sure it is ridiculously busy during Oktoberfest and other event times in Germany. We happened to go in April, and it was still busy, but not crazy at all, and we got a table to sit at and were greeted by our server right away.The decor is definitely old world and classic with heavy wooden booths and tables, as well as cream colored ceilings and columns painted with faded murals and the iconic blue and white checkered flag of Bavaria. The beer is obviously brewed by the Hofbräu state brewery, and their brews can be purchased all over the world (the iconic blue ""HB"" logo is what you look for), but that is nothing like getting it right from the source at the Hofbräuhaus!We stuck with the giant Hofbräu Original mugs (they were the size of my head!). It was surprisingly light in body and had a slight floweriness in the finish, making it super easily drinkable even though it came in the giant mugs.My travel partner and I also nibbled on a few of the food offerings, to complement our giant beers (and not to drink on an empty stomach!)I had the Beef Goulash that came in a hot cast iron skillet of sauce with perfectly cooked little bits of beef marinating inside, and accompanied by a little bread dumpling (that almost looked like mashed potatoes at first!) My friend got the giant baked pretzel, but we forgot to snap a pic - just trust me, it was wonderful.This is for sure a spot you should stop at in Munich for the history, the food, and of course, the beer!","Apr 1, 2024",5.0
3,"Came here for a beer and had a great experience! I had a .5 L of the dark beer which was great. The space is huge, there's a small stage for a band, and tons of tables but note, it's community seating. There's also a gift shop here. Stopping here for a beer is a must while in Munich. Service here was great, as our waiter was very attentive and prompt, despite the place being at capacity with visiting British soccer fans.","Apr 19, 2024",5.0
4,"A must visit when in Munich.  Part of a chain, this original location is a very festive beer hall and is a great way to experience the German drinking culture.  Get the   pretzel, pork knuckle and liter of the beer of choice and you're set!","May 28, 2024",5.0
5,Don't go for the food. Go for the experience and ambience. Service was excellent. Bring a gallon of water with you as food is really salty.,"Jun 11, 2024",3.0
6,"When I saw the big sign Hofbrauhuas, I couldn't move my legs, I got to drink a cup of beer here. The place is huge with courtyard and 3 floors, that's why we waited for a while to get service. You can sit wherever you find seats. The beer was not disappointing, I loved the atmosphere more than food, we ordered sausage platter, which is nice companion for beer. Live music was in the house to make drinking more pleasant. I feel totally relaxed and could easily spend whole day here. There are lockers for regulars to be able to lock their favorite fancy beer cups with seats.","May 19, 2024",5.0
7,"The service was great! Our hostess was dressed in traditional German attire (Dirndl) and was friendly, bonus she spoke English. She provided English menus that had traditional German dishes. The venue is a big permanent beer hall. As we left, some musicians showed up and started warming up. Parking is a bit of a challenge, but this place is worth it! Highly recommend!!","Mar 20, 2024",5.0
8,"A must stop when in Munich even if it is packed and a little touristy. We got lucky and grabbed a table just as people were leaving it. Shortly after 4 people asked to share the table. It was great, we are American and they were all from London here for the Arsenal game.","Apr 17, 2024",5.0
9,"A true classic. Definitely a must visit place, really busy but really cool. We were there Krampusnacht so that could contribute to how busy it was on a Monday. Service honestly good too, people were saying it was bad but never had an issue. Real good beer and classic kind of heavy but tasty German food. If I find myself in Munich again (I sure hope I do!) I'd go back.","Apr 21, 2024",5.0
